poem_id,title,svur,pvur,sps,msl,sfi,fppf,pnd,sds
tangzongzheng_poem_065,少年游,6.94,1.39,1.0,8.0,44.44,13.89,0.0,0.0
tangzongzheng_poem_066,17 岁的理发师,2.53,0.0,-0.868,26.33,33.33,75.95,0.0,0.0
tangzongzheng_poem_067,想去北京很久了，我活了二十年没有去过北京。5 月 7 日将独身往北京了，扑一个虚空,5.65,1.61,-0.854,12.4,10.0,88.71,24.19,0.0
tangzongzheng_poem_068,4 月 27 日与鸸鹋小毛兄在诗图学诗,2.86,0.0,-0.393,8.75,25.0,0.0,0.0,28.57
tangzongzheng_poem_069,某将于书包里装陈先发《九章》而启程,3.77,0.94,1.0,8.15,46.15,18.87,37.74,0.0
tangzongzheng_poem_070,火车在早晨到北京,0.0,0.0,0.497,19.0,0.0,0.0,105.26,0.0
tangzongzheng_poem_071,小书记,0.0,4.62,0.899,10.83,33.33,0.0,30.77,0.0
tangzongzheng_poem_072,"巴尔韦德取消了\""荒唐\""这个词语",2.15,0.86,-1.0,17.92,15.38,77.25,98.71,0.0
tangzongzheng_poem_073,他们迎面走过来,0.0,0.0,0.989,35.0,0.0,85.71,0.0,0.0
tangzongzheng_poem_074,倾覆,2.81,0.56,1.0,12.71,28.57,5.62,28.09,0.0
tangzongzheng_poem_075,致萧开愚……兼致他浊朽的冰，兼致王善秋、秦建东与唐亚文,1.1,1.1,1.0,11.38,31.25,38.46,43.96,0.0
tangzongzheng_poem_076,诗•剧,1.94,0.97,1.0,14.09,27.27,51.61,35.48,6.45
tangzongzheng_poem_077,涉,0.78,1.56,-0.804,9.14,14.29,0.0,15.62,0.0
tangzongzheng_poem_078,冬季家庭问卷（两份）,1.04,0.52,1.0,11.29,11.76,67.71,46.88,5.21
tangzongzheng_poem_079,阡陌,3.12,0.0,-0.36,19.2,0.0,0.0,52.08,0.0
tangzongzheng_poem_080,1962 年的屏风,2.22,4.44,1.0,6.43,57.14,0.0,44.44,0.0
tangzongzheng_poem_081,那东西,3.64,0.61,-0.782,9.17,27.78,0.0,66.67,0.0
tangzongzheng_poem_082,海思路 999 号,0.81,0.4,1.0,7.48,39.39,40.49,28.34,0.0
tangzongzheng_poem_083,永恒,0.0,1.84,0.599,7.41,54.55,49.08,6.13,0.0
tangzongzheng_poem_084,豆瓣三五条,3.14,0.84,-0.82,5.31,59.44,37.66,28.24,1.05
tangzongzheng_poem_085,青年胡闹家,3.45,0.77,0.995,7.05,40.54,42.15,30.65,3.83
tangzongzheng_poem_086,日记,0.59,0.59,1.0,7.39,39.13,35.29,35.29,0.0
tangzongzheng_poem_087,懂得值得懂得,2.61,0.87,0.985,7.19,25.0,8.7,26.09,0.0
tangzongzheng_poem_088,无题,2.9,1.45,-0.842,5.75,58.33,28.99,28.99,0.0
tangzongzheng_poem_089,巴黎之心,3.37,0.0,1.0,22.25,0.0,11.24,11.24,11.24
tangzongzheng_poem_090,恬不知耻,2.33,2.33,-0.967,3.07,100.0,0.0,46.51,0.0
tangzongzheng_poem_091,含风鸭绿,0.0,5.13,-0.168,2.79,100.0,0.0,179.49,0.0
tangzongzheng_poem_092,年少如花,1.32,1.1,1.0,8.75,25.0,52.75,28.57,2.2
tangzongzheng_poem_093,汉高皇帝,2.33,0.0,0.999,12.29,28.57,58.14,23.26,0.0
tangzongzheng_poem_094,芒芒云朵,1.49,1.21,1.0,8.04,44.0,40.51,20.61,0.71
tangzongzheng_poem_095,与大地诗人谈论江山之助,1.45,0.0,1.0,5.75,50.0,14.49,14.49,0.0
tangzongzheng_poem_096,在杨世海办公室外面口占,4.94,0.62,1.0,8.53,42.11,30.86,12.35,0.0
tangzongzheng_poem_097,君子说,4.84,0.81,1.0,11.27,18.18,24.19,0.0,0.0
tangzongzheng_poem_098,嫩果,2.69,2.24,1.0,223.0,0.0,53.81,17.94,0.0
tangzongzheng_poem_099,烟缕翻卷舌头,10.26,2.56,1.0,3.9,80.0,25.64,51.28,0.0
